experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,freq_words_extraction,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4096,,,,,,,,,ruler_fallback,111,10,0.0,0.06666666666666667,,0.13057782252210084,0.0,1.0040143000660464,0.9099099099099099,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,ruler_fallback,60,4,0.0,0.0,,0.26600655999888356,0.0,3.225008220004381,0.9333333333333333,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,ruler_fallback,62,3,0.0,0.0,,0.33334736290553046,0.0,0.0,0.9516129032258065,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,4096,,,,,,,,,ruler_fallback,58,2,0.0,0.3333333333333333,,0.07145330862238489,0.0,0.0,0.9655172413793104,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,ruler_fallback,63,1,0.015873015873015872,1.0,,1.1845183619039341,0.0,0.0,0.9841269841269841,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,ruler_fallback,61,4,0.0,0.0,,0.6547057606569934,0.0,3.9328707999084145,0.9344262295081968,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,4096,,,,,,,,,ruler_fallback,65,0,0.0,,,0.0,0.0,0.0,1.0,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,ruler_fallback,103,27,0.0,0.012345679012345678,,0.9439937087404315,0.0,4.284317559842021,0.7378640776699029,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,ruler_fallback,109,19,0.0,0.0,,0.8581582871543397,0.0,5.377249800087883,0.8256880733944955,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen3_8b,siliconflow,Qwen/Qwen3-8B,4096,,,,,,,,,ruler_fallback,100,50,0.0,0.02,,1.4821466859965584,0.2225907500833273,9.618722714867905,0.5,32768,,,,,,,
ruler,freq_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,ruler_fallback,71,2,0.0,0.0,,14.903335498593433,0.0,0.0,0.971830985915493,32768,,,,,,,request_error
ruler,freq_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,ruler_fallback,63,2,0.0,0.0,,5.439015161900205,0.0,0.0,0.9682539682539683,32768,,,,,,,request_error
