subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-B_interference,decoy_count,64,qwen35_9b,12,12,0,1.0,0.0,0.333333,0.333333,0.583333,0.583333,0.5,0.166667,0.0,0.0,8.310198,36232.25,26.75
PAC-B_interference,decoy_count,64,qwen3_8b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.207592,35180.666667,192.0
PAC-B_interference,decoy_count,64,qwen35_27b,12,12,0,1.0,0.0,0.5,0.5,0.833342,0.833342,0.416667,0.083333,0.0,0.0,15.538831,36232.25,27.5
PAC-B_interference,decoy_count,64,qwen35_35b_a3b,12,12,0,1.0,0.0,0.166667,0.166667,0.750008,0.750008,0.416667,0.416667,0.0,0.0,13.485528,36232.25,27.166667
PAC-B_interference,decoy_count,64,qwen35_122b_a10b,12,12,0,1.0,0.0,0.416667,0.416667,0.833342,0.833342,0.333333,0.25,0.0,0.0,4.392003,36232.25,27.25
PAC-B_interference,decoy_count,64,qwen3_14b_no_thinking,12,12,0,1.0,0.0,0.166667,0.166667,0.777783,0.777783,0.5,0.333333,0.0,0.0,9.847771,35180.666667,26.583333
PAC-B_interference,decoy_count,64,qwen3_14b_thinking,12,0,12,0.0,1.0,,0.0,,0.0,,,,,0.0,31986.75,
PAC-B_interference,decoy_count,64,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,11.506614,35172.666667,192.0
PAC-B_interference,decoy_count,64,seed_oss_36b,12,7,5,0.583333,0.416667,0.428571,0.25,0.857143,0.5,0.0,0.428571,0.0,0.0,21.259774,35117.0,69.428571
PAC-B_interference,decoy_count,128,qwen35_9b,12,12,0,1.0,0.0,0.166667,0.166667,0.805567,0.805567,0.166667,0.666667,0.0,0.0,7.507337,36388.166667,27.583333
